PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-10-16,13:01:41.20,1,1,"Wagner, Luke A.",691022,Left,GEO_BUL,"Mullins, John",1000098903,Right,UAB_BLA,Undefined,1,Top,0,0,0,Other,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.98518,-0.195399,4.456096,2185.18011,134.181233,10:30,5.77157,-1.93554,4.43156,-21.22391,17.03521,-16.26213,3.81594,0.96894,80.19718,-4.100174,1.627547,0.445183,,,,,,,,,,,,9.06595,8.66465,1.47896,50,5.73105,-9.10939,-127.20068,-1.24676,14.89541,25.40423,-17.938,GEO_BUL,UAB_BLA,UGeorgia,TeamExclusive,Team,20221016-UGeorgia-Private-1,35e74f10-4d74-11ed-a00f-b5bf01ee722b,84.66722,,,7.78801,,,,,,,d646597b-af5f-433c-a283-a3f30d1ae2e6,2022-10-16,17:01:41.20,2022-10-16T13:01:41.2010000-04:00,2022-10-16T17:01:41.2010000Z,,v3,226,471227,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,0eb47a28-ebe6-4a39-8d55-d5ad46f90185,56.06743,-128.40674,12.70211,5.77002,-0.39516,-8.969,1.92821,-9.81655,7.44771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.68846,2.081718,0.834867,1.246851,-1.4227,3.60644,-1.04597,0.22704,6.22639,0.66733,127.28177,2.1377,6.25655,0.40984,113.18903,-9.17924,6.20998,8.96135,-9.80536,0.65012,3.68976,0.6478,High,High,High,,,High,High,High
2,2022-10-16,13:02:14.72,1,2,"Wagner, Luke A.",691022,Left,GEO_BUL,"Mullins, John",1000098903,Right,UAB_BLA,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,89.80643,-1.144039,3.141499,2102.697336,143.004525,10:45,5.65861,-1.8312,4.74798,-18.59784,17.61253,-12.3956,3.02193,0.11842,81.99002,-4.597058,0.967743,0.4331,56.13758,15.036458,32.529382,2395.754437,,,,106.13757,98.178,35.723994,1.498737,6.97414,9.31095,1.52681,50,5.52784,-6.5447,-130.07347,-3.28532,11.96806,26.86135,-16.19585,GEO_BUL,UAB_BLA,UGeorgia,TeamExclusive,Team,20221016-UGeorgia-Private-1,49d82300-4d74-11ed-a00f-b5bf01ee722b,87.02951,10.10398,,7.81641,,,,1.26004,3.07062,-0.11054,d646597b-af5f-433c-a283-a3f30d1ae2e6,2022-10-16,17:02:14.72,2022-10-16T13:02:14.7205976-04:00,2022-10-16T17:02:14.7205976Z,GroundBall,v3,226,471227,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,0e00af4d-1fc4-421c-a05d-0b89f20ecc20,55.75206,-131.25595,13.43067,5.65678,-2.57236,-8.09793,1.82652,-7.07155,5.98403,245.701403,1.26004,67.04119,-8.61496,1.4799,-0.29512,0.04736,-0.00865,0.00195,-0.00023,3.07062,21.3604,-16.78229,0.93475,-0.14584,0.02936,-0.0018,-0,-1E-05,-0.11054,42.75817,-0.95414,0.02548,0.01939,-0.00802,0.00241,-0.00059,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2022-10-16,13:02:43.02,2,1,"Wagner, Luke A.",691022,Left,GEO_BUL,"Braunschweig, Logan",1000126833,Left,UAB_BLA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.97043,-1.881589,4.013274,2193.955128,136.2834,10:30,5.72068,-1.76799,4.79077,-19.31588,17.0282,-15.08316,2.32278,0.78477,81.63612,-5.472912,1.369246,0.433899,,,,,,,,,,,,8.55071,9.26709,1.38075,50,5.51643,-8.38475,-130.03795,-4.98635,14.57478,28.4269,-16.37819,GEO_BUL,UAB_BLA,UGeorgia,TeamExclusive,Team,20221016-UGeorgia-Private-1,5ab3a0a0-4d74-11ed-a00f-b5bf01ee722b,86.86924,,,8.3343,,,,,,,d646597b-af5f-433c-a283-a3f30d1ae2e6,2022-10-16,17:02:43.02,2022-10-16T13:02:43.0298456-04:00,2022-10-16T17:02:43.0298456Z,,v3,226,471227,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,cfd35a3a-afa1-4dfc-bbdf-7bb13da9011b,55.7073,-131.27966,14.21345,5.71862,-4.27094,-8.18909,1.76091,-9.02139,7.28739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-10-16,13:02:55.05,2,2,"Wagner, Luke A.",691022,Left,GEO_BUL,"Braunschweig, Logan",1000126833,Left,UAB_BLA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.4863,-0.09028,3.142687,2169.031169,143.044815,10:45,5.73335,-1.5848,4.77178,-20.55363,15.96402,-11.11713,3.93483,0.47118,81.44301,-3.898577,1.192711,0.434933,,,,,,,,,,,,6.30087,8.20008,1.28008,50,5.70702,-6.5692,-129.56759,-0.96724,10.70872,27.127,-18.23751,GEO_BUL,UAB_BLA,UGeorgia,TeamExclusive,Team,20221016-UGeorgia-Private-1,61eb2960-4d74-11ed-a00f-b5bf01ee722b,86.66254,,,8.04328,,,,,,,d646597b-af5f-433c-a283-a3f30d1ae2e6,2022-10-16,17:02:55.05,2022-10-16T13:02:55.0535512-04:00,2022-10-16T17:02:55.0535512Z,,v3,226,471227,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,d89d85e7-154e-425e-bfd7-345d525fbabc,55.72584,-130.76089,13.5635,5.73193,-0.16499,-9.11876,1.57941,-7.04027,5.35436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-10-16,13:03:08.10,2,3,"Wagner, Luke A.",691022,Left,GEO_BUL,"Braunschweig, Logan",1000126833,Left,UAB_BLA,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.00251,1.984992,0.494354,2226.693578,323.158709,4:45,5.61622,-1.87495,4.35981,-51.75715,-2.98567,3.40772,3.2001,-1.11874,71.31555,-7.282819,1.089182,0.502637,,,,,,,,,,,,-1.5011,-1.50941,1.81829,50,5.77755,-1.12601,-112.99919,1.90081,-1.93727,20.94752,-34.12207,GEO_BUL,UAB_BLA,UGeorgia,TeamExclusive,Team,20221016-UGeorgia-Private-1,69bea400-4d74-11ed-a00f-b5bf01ee722b,74.98938,,,6.68697,,,,,,,d646597b-af5f-433c-a283-a3f30d1ae2e6,2022-10-16,17:03:08.10,2022-10-16T13:03:08.1078616-04:00,2022-10-16T17:03:08.1078616Z,,v3,226,471227,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,b33fc7a5-be70-4c36-a75b-47593c784e81,56.13996,-114.13173,10.47376,5.62491,3.74563,-17.06103,1.87634,-1.02128,-0.96864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-10-16,13:03:24.05,2,4,"Wagner, Luke A.",691022,Left,GEO_BUL,"Braunschweig, Logan",1000126833,Left,UAB_BLA,Undefined,1,Top,1,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.43485,-3.739478,3.218123,2151.165801,140.711732,10:45,5.62831,-1.89134,4.80447,-17.37745,19.47044,-14.86772,0.62647,-0.078,81.23488,-6.981724,0.607095,0.436896,,,,,,,,,,,,8.29626,11.07012,1.58448,50,5.24093,-6.55509,-129.18073,-9.06454,13.93353,28.4429,-13.58186,GEO_BUL,UAB_BLA,UGeorgia,TeamExclusive,Team,20221016-UGeorgia-Private-1,7333e7c0-4d74-11ed-a00f-b5bf01ee722b,86.27334,,,8.19997,,,,,,,d646597b-af5f-433c-a283-a3f30d1ae2e6,2022-10-16,17:03:24.05,2022-10-16T13:03:24.0517976-04:00,2022-10-16T17:03:24.0517976Z,,v3,226,471227,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,5b01d888-27d5-4014-a24c-9605012b4f7a,55.69488,-130.42859,14.22145,5.62554,-8.46867,-6.79093,1.88547,-7.16639,6.96677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-10-16,13:03:39.19,2,5,"Wagner, Luke A.",691022,Left,GEO_BUL,"Braunschweig, Logan",1000126833,Left,UAB_BLA,Undefined,1,Top,1,3,1,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,90.17012,-3.484359,4.775623,2190.711823,138.356898,10:30,5.70419,-1.70623,4.78045,-21.09655,15.29339,-12.46418,0.62773,1.7924,81.94407,-7.367485,2.594139,0.434172,,,,,,,,,,,,7.48811,8.8976,1.2392,50,5.33657,-10.24833,-130.00147,-8.73701,12.75073,28.52386,-17.02327,GEO_BUL,UAB_BLA,UGeorgia,TeamExclusive,Team,20221016-UGeorgia-Private-1,7c377df0-4d74-11ed-a00f-b5bf01ee722b,86.81449,,,8.22605,,,,,,,d646597b-af5f-433c-a283-a3f30d1ae2e6,2022-10-16,17:03:39.19,2022-10-16T13:03:39.1958872-04:00,2022-10-16T17:03:39.1958872Z,,v3,226,471227,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,3fa9b446-cdad-4a30-a91c-34ca48568fa0,55.71703,-131.24986,14.26193,5.70265,-7.99197,-8.51163,1.69995,-10.80638,6.37536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-10-16,13:04:12.26,3,1,"Wagner, Luke A.",691022,Left,GEO_BUL,"Hunter, Henry",1000076894,Left,UAB_BLA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,1,0,,89.06911,-1.247003,4.285131,2211.789948,145.824125,10:45,5.83056,-1.61194,4.51993,-20.62371,16.68501,-10.49445,2.92071,1.6025,81.14364,-5.044719,2.45665,0.439619,,,,,,,,,,,,6.26878,8.81264,1.17384,50,5.6812,-9.12285,-128.72408,-3.59666,10.52234,26.62134,-17.38173,GEO_BUL,UAB_BLA,UGeorgia,TeamExclusive,Team,20221016-UGeorgia-Private-1,8fe184e0-4d74-11ed-a00f-b5bf01ee722b,85.73888,,,7.92548,,,,,,,d646597b-af5f-433c-a283-a3f30d1ae2e6,2022-10-16,17:04:12.26,2022-10-16T13:04:12.2600000-04:00,2022-10-16T17:04:12.2600000Z,,v3,226,471227,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,824d0e78-81e3-4db3-a155-5cfd4759e1bb,55.97779,-129.95446,13.31067,5.82886,-2.79331,-8.69086,1.60672,-9.60917,5.26117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.64274,1.946824,0.722483,1.224341,-1.93134,2.61689,-1.74286,0.43387,5.96143,-0.39868,127.2775,-0.44778,4.83624,0.55136,115.17632,-9.62191,5.96767,8.15508,-10.94823,-0.44142,1.13768,2.62342,High,High,High,,,High,High,High
9,2022-10-16,13:04:42.31,3,2,"Wagner, Luke A.",691022,Left,GEO_BUL,"Hunter, Henry",1000076894,Left,UAB_BLA,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.59526,-1.781953,3.863635,2070.04101,145.356963,10:45,5.70954,-1.69937,4.81563,-17.17489,19.14828,-12.42666,2.58589,0.93059,81.87985,-4.985069,1.684494,0.433774,,,,,,,,,,,,7.13032,10.2317,1.32624,50,5.518,-8.15457,-129.64143,-4.64528,12.17611,26.24004,-14.70179,GEO_BUL,UAB_BLA,UGeorgia,TeamExclusive,Team,20221016-UGeorgia-Private-1,a1d09560-4d74-11ed-a00f-b5bf01ee722b,86.89424,,,7.71541,,,,,,,d646597b-af5f-433c-a283-a3f30d1ae2e6,2022-10-16,17:04:42.31,2022-10-16T13:04:42.3196504-04:00,2022-10-16T17:04:42.3196504Z,,v3,226,471227,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,99bb155d-8286-42ce-a778-304420dd7838,55.68318,-130.78667,13.12002,5.70674,-4.00362,-7.3509,1.69375,-8.68599,6.08806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-10-16,13:04:57.36,3,3,"Wagner, Luke A.",691022,Left,GEO_BUL,"Hunter, Henry",1000076894,Left,UAB_BLA,Undefined,1,Top,2,1,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,89.7895,-1.877803,3.831371,2141.501592,131.795434,10:30,5.36001,-2.15826,4.86116,-21.99044,13.97926,-14.39902,1.74553,0.27359,82.46471,-5.913694,1.302491,0.431658,105.55777,16.046294,-2.668886,932.39771,109.76273,25.76666,-7.2133,323.85048,308.52495,-5.212357,2.918381,8.15634,7.71831,1.79326,50,5.15624,-8.03408,-130.0234,-5.11188,14.05221,25.63059,-18.8765,GEO_BUL,UAB_BLA,UGeorgia,TeamExclusive,Team,20221016-UGeorgia-Private-1,aacba010-4d74-11ed-a00f-b5bf01ee722b,87.32015,30.73761,,7.32478,,,,2.0267,1.77047,-0.2583,d646597b-af5f-433c-a283-a3f30d1ae2e6,2022-10-16,17:04:57.36,2022-10-16T13:04:57.3659480-04:00,2022-10-16T17:04:57.3659480Z,LineDrive,v3,226,471227,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,ae074d23-e31a-4a1c-975a-23ba91baec77,55.64032,-131.13053,12.8153,5.35944,-4.2965,-9.43825,2.15341,-8.64107,7.02611,145.34782,2.02671,148.62413,-22.36859,5.12552,-1.10672,0.22064,-0.03807,0.00463,-0.00026,1.77047,42.79405,-16.82125,0.81681,-0.05312,-0.00406,0.00135,0.00026,-5E-05,-0.25829,-6.92843,-2.90175,1.27145,-0.38488,0.09046,-0.01583,0.00176,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
