GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
0c61c52a-8f0d-425f-a725-86c288fcbb80,1,07fc2ba0-bdc0-11ec-b68b-a383117c6a9f,9246ca64-1ba8-483f-aacf-c329c47858eb,2022-04-16,16:01:38.71,2022-04-16,20:01:38.71,2022-04-16T16:01:38.7140000-04:00,2022-04-16T20:01:38.7140000Z,GEO_BUL,TEX_AGG,StrikeSwinging,Undefined,RightInfieldShift,64.80739,62.49954,,,81.5686,-32.55448,154.75763,0.41958,248.84715,-122.40315,293.92505,1.14531,239.82451,121.71433
0c61c52a-8f0d-425f-a725-86c288fcbb80,2,2276e330-bdc0-11ec-b68b-a383117c6a9f,48678ba5-cf8e-4ad8-989b-87851f30bbbf,2022-04-16,16:02:23.24,2022-04-16,20:02:23.24,2022-04-16T16:02:23.2476180-04:00,2022-04-16T20:02:23.2476180Z,GEO_BUL,TEX_AGG,StrikeCalled,Undefined,NoShift,93.9221,57.99419,147.18973,30.41524,72.46171,-49.93031,147.4145,-30.71893,243.4808,-118.80474,289.08225,0.24345,238.3158,120.36042
0c61c52a-8f0d-425f-a725-86c288fcbb80,3,2e06f0a0-bdc0-11ec-b68b-a383117c6a9f,aa02ae04-c6e1-4644-90d9-1e3f00abc623,2022-04-16,16:02:42.67,2022-04-16,20:02:42.67,2022-04-16T16:02:42.6727444-04:00,2022-04-16T20:02:42.6727444Z,GEO_BUL,TEX_AGG,StrikeSwinging,Undefined,NoShift,95.58897,58.23303,149.49041,28.556,73.00898,-50.20395,148.72995,-31.83966,244.60218,-119.19555,289.11668,-0.0352,237.81768,120.63086
0c61c52a-8f0d-425f-a725-86c288fcbb80,4,3e62de00-bdc0-11ec-b68b-a383117c6a9f,fe96fdf9-e457-41dc-858f-c4884d5adc7b,2022-04-16,16:03:10.05,2022-04-16,20:03:10.05,2022-04-16T16:03:10.0538388-04:00,2022-04-16T20:03:10.0538388Z,GEO_BUL,TEX_AGG,BallCalled,Undefined,NoShift,95.98762,58.37771,150.83249,28.08701,91.552,-67.79828,147.49188,-31.16786,243.02565,-119.04548,288.27711,-0.32614,237.72445,120.29807
0c61c52a-8f0d-425f-a725-86c288fcbb80,5,4da481c0-bdc0-11ec-b68b-a383117c6a9f,57283fec-3fec-4999-8462-0168cbbf8e8f,2022-04-16,16:03:35.58,2022-04-16,20:03:35.58,2022-04-16T16:03:35.5844116-04:00,2022-04-16T20:03:35.5844116Z,GEO_BUL,TEX_AGG,BallCalled,Undefined,NoShift,95.78162,57.98539,148.50711,27.03932,91.34089,-68.47298,147.67092,-31.64173,243.66845,-118.89676,288.55279,0.2687,237.56524,119.95001
0c61c52a-8f0d-425f-a725-86c288fcbb80,6,5c0bcb10-bdc0-11ec-b68b-a383117c6a9f,3cdccd61-9d70-4646-a15a-00f90169cf7e,2022-04-16,16:03:59.85,2022-04-16,20:03:59.85,2022-04-16T16:03:59.8518804-04:00,2022-04-16T20:03:59.8518804Z,GEO_BUL,TEX_AGG,InPlay,Out,NoShift,98.90694,60.50225,148.8043,25.86946,93.17459,-69.6111,147.56964,-32.1688,244.02411,-119.42553,288.6627,-0.17049,236.96992,119.49847
0c61c52a-8f0d-425f-a725-86c288fcbb80,7,7783a750-bdc0-11ec-b68b-a383117c6a9f,f23902de-eb5a-4f14-bd4e-3384420ebcf2,2022-04-16,16:04:45.92,2022-04-16,20:04:45.92,2022-04-16T16:04:45.9220500-04:00,2022-04-16T20:04:45.9220500Z,GEO_BUL,TEX_AGG,FoulBall,Undefined,NoShift,98.69997,59.94469,145.74906,34.70422,92.75608,-68.56008,137.72424,-50.18153,263.38719,-106.45093,297.55523,7.85122,262.72723,120.07827
0c61c52a-8f0d-425f-a725-86c288fcbb80,8,8819b780-bdc0-11ec-b68b-a383117c6a9f,a7187b0a-2584-49c6-b37a-901d5fd91bd9,2022-04-16,16:05:13.75,2022-04-16,20:05:13.75,2022-04-16T16:05:13.7579028-04:00,2022-04-16T20:05:13.7579028Z,GEO_BUL,TEX_AGG,BallCalled,Undefined,NoShift,98.45473,60.04218,148.90585,37.07996,95.64673,-73.48949,139.26103,-51.31645,264.25705,-107.74242,300.95823,8.29159,261.36054,119.44466
0c61c52a-8f0d-425f-a725-86c288fcbb80,9,91a1e700-bdc0-11ec-b68b-a383117c6a9f,bc67ddb0-7d45-40c7-9a00-0eef1f1faba8,2022-04-16,16:05:29.71,2022-04-16,20:05:29.71,2022-04-16T16:05:29.7196052-04:00,2022-04-16T20:05:29.7196052Z,GEO_BUL,TEX_AGG,BallCalled,Undefined,NoShift,97.41756,59.44142,145.84392,34.49046,94.28838,-69.69563,138.59616,-49.98913,263.06859,-106.15261,294.99414,7.55349,257.19822,117.93205
0c61c52a-8f0d-425f-a725-86c288fcbb80,10,9d10d7e0-bdc0-11ec-b68b-a383117c6a9f,75030133-f328-4b81-bf96-f5af04a20f1f,2022-04-16,16:05:48.90,2022-04-16,20:05:48.90,2022-04-16T16:05:48.9021972-04:00,2022-04-16T20:05:48.9021972Z,GEO_BUL,TEX_AGG,BallCalled,Undefined,NoShift,97.87393,59.75855,148.45971,34.11929,94.18714,-69.77868,138.3203,-51.08838,262.32294,-106.8589,295.85376,6.03458,256.71136,117.67794
