GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
84a8b67f-aeb1-48ed-b715-18ad071b43ab,1,d5c66460-afab-11ec-ba9c-4302bb366a4c,5aa6e0fe-889f-4ef9-81fb-2397612bbe91,2022-03-29,18:01:49.46,2022-03-29,22:01:49.46,2022-03-29T18:01:49.4630000-04:00,2022-03-29T22:01:49.4630000Z,GEO_BUL,GEO_EAG,StrikeSwinging,Undefined,NoShift,80.42367,56.55278,,,69.35761,-22.0022,131.18256,-3.88804,,,234.86986,-8.40928,258.0974,131.61373
84a8b67f-aeb1-48ed-b715-18ad071b43ab,2,e9253180-afab-11ec-ba9c-4302bb366a4c,ed6a38b0-ed20-4f6e-bfe5-0941efd7b0d4,2022-03-29,18:02:22.18,2022-03-29,22:02:22.18,2022-03-29T18:02:22.1857418-04:00,2022-03-29T22:02:22.1857418Z,GEO_BUL,GEO_EAG,BallCalled,Undefined,NoShift,78.51038,51.13337,139.91063,41.33347,78.70542,-41.86389,137.27371,-34.78165,223.80084,-113.79985,288.38771,-6.34028,252.62014,127.2381
84a8b67f-aeb1-48ed-b715-18ad071b43ab,3,ef3921d0-afab-11ec-ba9c-4302bb366a4c,398943e7-3933-44a2-8f29-19bbaa53f5be,2022-03-29,18:02:32.38,2022-03-29,22:02:32.38,2022-03-29T18:02:32.3851914-04:00,2022-03-29T22:02:32.3851914Z,GEO_BUL,GEO_EAG,StrikeCalled,Undefined,NoShift,78.81195,50.97515,139.51772,41.67553,78.5576,-41.84384,135.71198,-33.76339,223.63401,-112.75154,287.63716,-7.48474,253.45606,127.44781
84a8b67f-aeb1-48ed-b715-18ad071b43ab,4,f70e4a20-afab-11ec-ba9c-4302bb366a4c,a4802737-f82b-4584-90f4-3adccf16c5f2,2022-03-29,18:02:45.44,2022-03-29,22:02:45.44,2022-03-29T18:02:45.4445706-04:00,2022-03-29T22:02:45.4445706Z,GEO_BUL,GEO_EAG,FoulBall,Undefined,NoShift,78.98079,51.25151,140.78722,41.76163,78.54371,-42.19268,136.74658,-33.16498,222.41874,-111.95155,287.94306,-7.79961,251.39652,126.53296
84a8b67f-aeb1-48ed-b715-18ad071b43ab,5,020f36f0-afac-11ec-ba9c-4302bb366a4c,11f083ee-9546-43db-9d89-3a1d6942336d,2022-03-29,18:03:03.94,2022-03-29,22:03:03.94,2022-03-29T18:03:03.9444106-04:00,2022-03-29T22:03:03.9444106Z,GEO_BUL,GEO_EAG,BallCalled,Undefined,NoShift,93.18401,70.08144,144.22491,45.08289,95.76572,-56.16257,139.26241,-30.85254,224.62998,-114.73706,288.03239,-10.9494,252.48817,126.71587
84a8b67f-aeb1-48ed-b715-18ad071b43ab,6,0a2734a0-afac-11ec-ba9c-4302bb366a4c,13744dd8-46da-4b80-b9dd-50d3622e331f,2022-03-29,18:03:17.46,2022-03-29,22:03:17.46,2022-03-29T18:03:17.4682762-04:00,2022-03-29T22:03:17.4682762Z,GEO_BUL,GEO_EAG,InPlay,Out,NoShift,94.21898,70.39934,144.19689,45.07737,96.4557,-57.26417,138.25442,-31.51865,222.93509,-117.00919,289.60891,-10.29142,249.97221,125.9574
84a8b67f-aeb1-48ed-b715-18ad071b43ab,7,20e902e0-afac-11ec-ba9c-4302bb366a4c,6dbe76a1-374f-4b0d-a653-1b5539c73cbe,2022-03-29,18:03:55.65,2022-03-29,22:03:55.65,2022-03-29T18:03:55.6579466-04:00,2022-03-29T22:03:55.6579466Z,GEO_BUL,GEO_EAG,FoulBall,Undefined,NoShift,96.01592,61.2248,149.19283,29.35865,79.62483,-61.86254,130.86115,-46.84377,250.708,-122.7318,300.65381,-0.14335,250.28258,125.92858
84a8b67f-aeb1-48ed-b715-18ad071b43ab,8,2ae2b8e0-afac-11ec-ba9c-4302bb366a4c,cae62501-dee1-4cb1-a6c7-c639fdaf7b76,2022-03-29,18:04:12.36,2022-03-29,22:04:12.36,2022-03-29T18:04:12.3676298-04:00,2022-03-29T22:04:12.3676298Z,GEO_BUL,GEO_EAG,StrikeCalled,Undefined,NoShift,95.77254,65.81946,149.0464,29.95307,80.92907,-62.69162,129.87248,-47.04012,252.36262,-123.18929,298.15247,-0.40064,252.1027,126.65598
84a8b67f-aeb1-48ed-b715-18ad071b43ab,9,33771280-afac-11ec-ba9c-4302bb366a4c,7d971e95-6363-4672-a3a9-76cd15069a9a,2022-03-29,18:04:26.76,2022-03-29,22:04:26.76,2022-03-29T18:04:26.7699338-04:00,2022-03-29T22:04:26.7699338Z,GEO_BUL,GEO_EAG,InPlay,Single,NoShift,95.42386,65.88571,149.63911,32.4823,90.51146,-73.09652,130.42236,-45.30732,250.3523,-122.61268,302.14508,-0.60655,249.26031,125.68041
84a8b67f-aeb1-48ed-b715-18ad071b43ab,10,4a1f6550-afac-11ec-ba9c-4302bb366a4c,54a53a8c-22aa-4a0e-ade0-e5b6c5aa0e12,2022-03-29,18:05:04.69,2022-03-29,22:05:04.69,2022-03-29T18:05:04.6998666-04:00,2022-03-29T22:05:04.6998666Z,GEO_BUL,GEO_EAG,FoulBall,Undefined,NoShift,62.76475,59.59937,145.39167,23.14048,78.12493,-60.6375,137.80647,-30.86225,251.90982,-121.94262,299.15488,0.53463,250.19824,125.86701
84a8b67f-aeb1-48ed-b715-18ad071b43ab,11,57e6ec30-afac-11ec-ba9c-4302bb366a4c,f1f95e32-63ec-462d-88bb-780a3bc59c29,2022-03-29,18:05:27.94,2022-03-29,22:05:27.94,2022-03-29T18:05:27.9404170-04:00,2022-03-29T22:05:27.9404170Z,GEO_BUL,GEO_EAG,BallCalled,Undefined,NoShift,63.05878,59.69229,140.85622,22.692,78.18799,-59.72639,134.64981,-36.2506,251.42491,-122.18525,298.24341,0.85477,250.98637,125.54979
84a8b67f-aeb1-48ed-b715-18ad071b43ab,12,666b8180-afac-11ec-ba9c-4302bb366a4c,d6de6f7b-e824-43cf-90a2-73810517ddcb,2022-03-29,18:05:52.13,2022-03-29,22:05:52.13,2022-03-29T18:05:52.1394314-04:00,2022-03-29T22:05:52.1394314Z,GEO_BUL,GEO_EAG,InPlay,Single,NoShift,63.25554,59.93951,140.97001,22.86843,80.08755,-62.20542,134.81398,-35.10815,252.83256,-122.69561,301.08591,0.69667,252.63267,126.37946
84a8b67f-aeb1-48ed-b715-18ad071b43ab,13,7f8b3cf0-afac-11ec-ba9c-4302bb366a4c,020df14e-4151-4231-ab33-64cece73627c,2022-03-29,18:06:34.32,2022-03-29,22:06:34.32,2022-03-29T18:06:34.3245962-04:00,2022-03-29T22:06:34.3245962Z,GEO_BUL,GEO_EAG,FoulBall,Undefined,NoShift,95.2289,79.93699,139.13476,52.24946,84.8419,-55.56676,146.73298,-14.23483,265.8363,-107.58045,302.10094,8.39804,247.67861,137.40994
84a8b67f-aeb1-48ed-b715-18ad071b43ab,14,93494110-afac-11ec-ba9c-4302bb366a4c,d6fee8b9-8707-4f4e-8698-0ef3b15cb495,2022-03-29,18:07:07.54,2022-03-29,22:07:07.54,2022-03-29T18:07:07.5433610-04:00,2022-03-29T22:07:07.5433610Z,GEO_BUL,GEO_EAG,BallCalled,Undefined,NoShift,94.55791,78.16573,141.85172,52.0041,83.60427,-54.99737,142.31417,-15.8748,259.9653,-106.70458,302.12408,12.98506,246.57064,138.36935
84a8b67f-aeb1-48ed-b715-18ad071b43ab,15,a6c35e60-afac-11ec-ba9c-4302bb366a4c,06c3819a-6060-454b-823a-bfb38a1d182f,2022-03-29,18:07:40.17,2022-03-29,22:07:40.17,2022-03-29T18:07:40.1717898-04:00,2022-03-29T22:07:40.1717898Z,GEO_BUL,GEO_EAG,InPlay,Out,NoShift,93.08534,77.98075,141.05824,49.40923,83.27271,-54.85002,145.23474,-14.60745,260.45939,-107.4446,303.57188,14.09226,246.25188,137.89036
84a8b67f-aeb1-48ed-b715-18ad071b43ab,16,c7442390-afac-11ec-ba9c-4302bb366a4c,0ded21cc-ea4f-40a8-9b4f-938a8f31b8f7,2022-03-29,18:08:34.75,2022-03-29,22:08:34.75,2022-03-29T18:08:34.7543178-04:00,2022-03-29T22:08:34.7543178Z,GEO_BUL,GEO_EAG,FoulBall,Undefined,NoShift,93.95821,71.86056,146.10096,38.76868,89.20959,-61.62619,140.15531,-25.98395,263.27014,-111.75818,291.72706,8.14885,249.22232,134.17471
84a8b67f-aeb1-48ed-b715-18ad071b43ab,17,e7977020-afac-11ec-ba9c-4302bb366a4c,62beaef7-954e-42b0-b794-446ffffe681e,2022-03-29,18:09:28.95,2022-03-29,22:09:28.95,2022-03-29T18:09:28.9590922-04:00,2022-03-29T22:09:28.9590922Z,GEO_BUL,GEO_EAG,BallCalled,Undefined,NoShift,97.56809,70.83765,146.70926,43.40742,86.07836,-60.28192,142.28816,-25.49514,266.56369,-104.32312,293.76073,12.40615,243.66594,133.46456
84a8b67f-aeb1-48ed-b715-18ad071b43ab,18,f29305c0-afac-11ec-ba9c-4302bb366a4c,af079ec8-3a17-400e-8fea-909992250289,2022-03-29,18:09:47.29,2022-03-29,22:09:47.29,2022-03-29T18:09:47.2961162-04:00,2022-03-29T22:09:47.2961162Z,GEO_BUL,GEO_EAG,FoulBall,Undefined,NoShift,97.73985,71.81097,146.23152,44.5039,87.70156,-60.29496,140.93214,-23.72192,268.86498,-105.44803,295.29323,13.19469,246.05517,134.94094
84a8b67f-aeb1-48ed-b715-18ad071b43ab,19,0243e610-afad-11ec-ba9c-4302bb366a4c,e170315d-6bd9-4991-a0ec-1e6971124530,2022-03-29,18:10:13.73,2022-03-29,22:10:13.73,2022-03-29T18:10:13.7352842-04:00,2022-03-29T22:10:13.7352842Z,GEO_BUL,GEO_EAG,StrikeSwinging,Undefined,NoShift,98.25929,70.83183,148.37432,42.33695,87.86056,-61.07772,140.30991,-26.59629,265.0828,-106.07872,293.9598,10.19562,245.51016,133.20629
84a8b67f-aeb1-48ed-b715-18ad071b43ab,20,61dcb520-afad-11ec-ba9c-4302bb366a4c,1b2c424b-bbe2-4244-95a5-873ad087a3d3,2022-03-29,18:12:54.15,2022-03-29,22:12:54.15,2022-03-29T18:12:54.1526666-04:00,2022-03-29T22:12:54.1526666Z,GEO_EAG,GEO_BUL,FoulBall,Undefined,NoShift,86.69329,57.05258,140.489,41.32255,79.36163,-47.2038,148.10099,-27.08071,238.59461,-134.89957,309.73986,-20.80524,262.69426,126.91383
84a8b67f-aeb1-48ed-b715-18ad071b43ab,21,6ac37480-afad-11ec-ba9c-4302bb366a4c,ffd4aeed-1bdf-4c84-a678-e30ddb3225de,2022-03-29,18:13:09.04,2022-03-29,22:13:09.04,2022-03-29T18:13:09.0419338-04:00,2022-03-29T22:13:09.0419338Z,GEO_EAG,GEO_BUL,StrikeSwinging,Undefined,NoShift,93.75132,66.0807,143.23305,42.30751,84.31814,-47.47918,148.05052,-26.60753,241.35215,-136.22821,305.42971,-20.80866,257.1382,124.69879
84a8b67f-aeb1-48ed-b715-18ad071b43ab,22,74c5dd10-afad-11ec-ba9c-4302bb366a4c,9e375958-912b-4326-bc63-5cd0b3b99d17,2022-03-29,18:13:25.74,2022-03-29,22:13:25.74,2022-03-29T18:13:25.7490058-04:00,2022-03-29T22:13:25.7490058Z,GEO_EAG,GEO_BUL,FoulBall,Undefined,NoShift,101.16783,74.174,145.90324,42.19949,100.77565,-59.89729,148.57771,-26.65545,239.92069,-137.78174,305.59795,-22.39583,256.3427,122.98938
84a8b67f-aeb1-48ed-b715-18ad071b43ab,23,808ba080-afad-11ec-ba9c-4302bb366a4c,b5a659d9-ec3e-4b90-9e27-1eea4d14ca40,2022-03-29,18:13:45.52,2022-03-29,22:13:45.52,2022-03-29T18:13:45.5210634-04:00,2022-03-29T22:13:45.5210634Z,GEO_EAG,GEO_BUL,FoulBall,Undefined,NoShift,101.64079,70.00667,145.62361,41.75285,99.15157,-59.44897,149.17432,-28.19795,236.93541,-138.04696,298.92411,-21.03722,257.94593,122.427
84a8b67f-aeb1-48ed-b715-18ad071b43ab,24,8f153ee0-afad-11ec-ba9c-4302bb366a4c,835349ff-9b25-49bc-bdb0-d4dcfe247107,2022-03-29,18:14:10.02,2022-03-29,22:14:10.02,2022-03-29T18:14:10.0215946-04:00,2022-03-29T22:14:10.0215946Z,GEO_EAG,GEO_BUL,FoulBall,Undefined,NoShift,104.83799,78.62732,145.85526,41.08309,102.04589,-63.42816,148.40501,-30.19523,232.66732,-134.86612,293.93436,-27.57144,268.91964,115.18578
84a8b67f-aeb1-48ed-b715-18ad071b43ab,25,99ec5c90-afad-11ec-ba9c-4302bb366a4c,6d098b51-fe76-41e9-b210-0a1890b0091d,2022-03-29,18:14:28.07,2022-03-29,22:14:28.07,2022-03-29T18:14:28.0712330-04:00,2022-03-29T22:14:28.0712330Z,GEO_EAG,GEO_BUL,FoulBall,Undefined,NoShift,104.03143,79.71335,146.2455,43.39437,99.75057,-62.57034,149.07907,-29.18039,233.26191,-137.90095,294.20165,-27.51967,266.6296,114.01632
84a8b67f-aeb1-48ed-b715-18ad071b43ab,26,a8a8a3b0-afad-11ec-ba9c-4302bb366a4c,10dd03af-b829-430d-a4b7-d1cad3ec3e7b,2022-03-29,18:14:52.81,2022-03-29,22:14:52.81,2022-03-29T18:14:52.8163978-04:00,2022-03-29T22:14:52.8163978Z,GEO_EAG,GEO_BUL,FoulBall,Undefined,NoShift,105.64305,77.99356,146.15935,43.60926,101.72435,-65.04379,148.48293,-28.70389,233.16992,-137.75541,293.69042,-26.72022,263.09311,116.72403
84a8b67f-aeb1-48ed-b715-18ad071b43ab,27,b9c87d50-afad-11ec-ba9c-4302bb366a4c,bb2f171e-a172-48fd-ab19-01291a0dcad7,2022-03-29,18:15:21.65,2022-03-29,22:15:21.65,2022-03-29T18:15:21.6540810-04:00,2022-03-29T22:15:21.6540810Z,GEO_EAG,GEO_BUL,BallCalled,Undefined,NoShift,102.51382,83.45337,146.35005,41.43925,103.34004,-64.93312,147.6763,-29.55384,237.02672,-139.81633,305.07551,-17.23927,267.46997,125.68059
84a8b67f-aeb1-48ed-b715-18ad071b43ab,28,c3218680-afad-11ec-ba9c-4302bb366a4c,2c561671-71e9-43c9-81f5-14cde83be400,2022-03-29,18:15:37.23,2022-03-29,22:15:37.23,2022-03-29T18:15:37.2369546-04:00,2022-03-29T22:15:37.2369546Z,GEO_EAG,GEO_BUL,InPlay,Out,NoShift,102.55575,80.8482,144.35622,40.56145,103.28884,-64.99023,147.9936,-29.22424,236.88551,-140.47796,307.44021,-20.01451,267.03737,120.81651
84a8b67f-aeb1-48ed-b715-18ad071b43ab,29,da013d00-afad-11ec-ba9c-4302bb366a4c,56dbdfb8-a461-4335-9a65-e5f48cd5b43e,2022-03-29,18:16:15.64,2022-03-29,22:16:15.64,2022-03-29T18:16:15.6439178-04:00,2022-03-29T22:16:15.6439178Z,GEO_EAG,GEO_BUL,BallCalled,Undefined,NoShift,101.76913,54.50108,150.77482,20.18302,90.71079,-61.16606,140.33403,-52.99348,256.54222,-134.96111,315.09767,9.5165,256.29105,135.6953
84a8b67f-aeb1-48ed-b715-18ad071b43ab,30,e12eb3a0-afad-11ec-ba9c-4302bb366a4c,05c57a9a-2181-4e88-b710-da3d539e0c11,2022-03-29,18:16:27.79,2022-03-29,22:16:27.79,2022-03-29T18:16:27.7930634-04:00,2022-03-29T22:16:27.7930634Z,GEO_EAG,GEO_BUL,StrikeCalled,Undefined,NoShift,99.0406,54.4386,150.07283,20.51391,93.35624,-62.70096,140.17872,-52.14377,259.66019,-136.6404,313.32271,10.20422,253.81545,134.39866
84a8b67f-aeb1-48ed-b715-18ad071b43ab,31,e9201680-afad-11ec-ba9c-4302bb366a4c,e2634dee-c309-40e1-8a51-7a89e0f4c972,2022-03-29,18:16:41.01,2022-03-29,22:16:41.01,2022-03-29T18:16:41.0165386-04:00,2022-03-29T22:16:41.0165386Z,GEO_EAG,GEO_BUL,FoulBall,Undefined,NoShift,98.93696,54.92313,149.7514,19.42564,95.1742,-64.00112,140.81917,-51.82321,259.87034,-137.50852,313.14118,9.97879,252.43684,133.27066
84a8b67f-aeb1-48ed-b715-18ad071b43ab,32,f59e0660-afad-11ec-ba9c-4302bb366a4c,f96a0ed4-37be-46f1-b30a-4feb5af2f1f6,2022-03-29,18:17:01.97,2022-03-29,22:17:01.97,2022-03-29T18:17:01.9715722-04:00,2022-03-29T22:17:01.9715722Z,GEO_EAG,GEO_BUL,InPlay,Out,NoShift,100.38459,56.44545,151.26539,18.5222,96.98466,-67.00252,139.10685,-51.58643,262.08093,-138.34168,311.83932,14.27158,246.39945,129.7515
84a8b67f-aeb1-48ed-b715-18ad071b43ab,33,0ea816f0-afae-11ec-ba9c-4302bb366a4c,e22c10bb-3fa3-4926-9cc4-d716946d6fbc,2022-03-29,18:17:43.92,2022-03-29,22:17:43.92,2022-03-29T18:17:43.9263370-04:00,2022-03-29T22:17:43.9263370Z,GEO_EAG,GEO_BUL,StrikeSwinging,Undefined,RightInfieldShift,99.61871,88.37284,152.92675,83.16337,87.83908,-39.53664,156.41213,21.04237,253.62061,-142.21802,324.37615,-9.20854,271.96619,139.63856
84a8b67f-aeb1-48ed-b715-18ad071b43ab,34,196baca0-afae-11ec-ba9c-4302bb366a4c,9bd61ba7-a928-4c6b-98dc-1f04b8424422,2022-03-29,18:18:02.03,2022-03-29,22:18:02.03,2022-03-29T18:18:02.0373130-04:00,2022-03-29T22:18:02.0373130Z,GEO_EAG,GEO_BUL,BallCalled,Undefined,RightInfieldShift,98.8217,87.6488,151.70352,82.3137,91.64421,-39.89621,156.72159,21.7968,257.39699,-144.29089,324.14698,-9.62839,269.85086,139.6961
84a8b67f-aeb1-48ed-b715-18ad071b43ab,35,241ea080-afae-11ec-ba9c-4302bb366a4c,108d65ef-c483-46fc-add8-b7ca16059b67,2022-03-29,18:18:20.05,2022-03-29,22:18:20.05,2022-03-29T18:18:20.0563850-04:00,2022-03-29T22:18:20.0563850Z,GEO_EAG,GEO_BUL,StrikeCalled,Undefined,RightInfieldShift,99.62047,87.74407,150.67131,82.08772,94.56509,-41.45002,156.76503,22.18981,258.37288,-145.70311,324.10977,-10.99259,268.76991,139.51785
84a8b67f-aeb1-48ed-b715-18ad071b43ab,36,2e22ddd0-afae-11ec-ba9c-4302bb366a4c,7668c1aa-d175-45a0-b7c9-34cfba3bd8f7,2022-03-29,18:18:36.79,2022-03-29,22:18:36.79,2022-03-29T18:18:36.7958154-04:00,2022-03-29T22:18:36.7958154Z,GEO_EAG,GEO_BUL,BallCalled,Undefined,RightInfieldShift,99.52289,88.07019,152.43936,82.32084,136.59471,-46.02029,155.77463,23.19629,259.09484,-146.20928,328.83633,-14.73994,274.13131,137.96879
84a8b67f-aeb1-48ed-b715-18ad071b43ab,37,38d0a190-afae-11ec-ba9c-4302bb366a4c,78977c84-93a8-4e29-a583-99b43217d554,2022-03-29,18:18:54.76,2022-03-29,22:18:54.76,2022-03-29T18:18:54.7670154-04:00,2022-03-29T22:18:54.7670154Z,GEO_EAG,GEO_BUL,InPlay,Single,RightInfieldShift,99.85967,88.61221,151.21222,82.14842,137.5021,-44.70699,155.52946,22.74182,258.70346,-147.32667,319.6137,-13.68208,271.58229,137.26049
84a8b67f-aeb1-48ed-b715-18ad071b43ab,38,53d6a930-afae-11ec-ba9c-4302bb366a4c,cb3f4252-51f0-46b4-806c-db71dba9cd09,2022-03-29,18:19:40.06,2022-03-29,22:19:40.06,2022-03-29T18:19:40.0627338-04:00,2022-03-29T22:19:40.0627338Z,GEO_EAG,GEO_BUL,BallCalled,Undefined,NoShift,65.46563,57.72674,152.59077,28.06626,89.36927,-79.06644,144.98107,-42.50546,251.26692,-129.70261,321.98314,9.55976,252.00954,134.80421
84a8b67f-aeb1-48ed-b715-18ad071b43ab,39,5e7b9350-afae-11ec-ba9c-4302bb366a4c,058260f6-187f-4430-a9d6-455ee53bebe4,2022-03-29,18:19:57.92,2022-03-29,22:19:57.92,2022-03-29T18:19:57.9211914-04:00,2022-03-29T22:19:57.9211914Z,GEO_EAG,GEO_BUL,StrikeCalled,Undefined,NoShift,67.60589,57.41221,151.82135,28.2599,89.07955,-78.84196,144.10058,-39.42352,255.19975,-133.8088,318.28264,9.71686,254.79163,135.99236
84a8b67f-aeb1-48ed-b715-18ad071b43ab,40,69b93b00-afae-11ec-ba9c-4302bb366a4c,1ca64144-0bc0-4aef-8bd3-fe787a25d8ae,2022-03-29,18:20:16.70,2022-03-29,22:20:16.70,2022-03-29T18:20:16.7087242-04:00,2022-03-29T22:20:16.7087242Z,GEO_EAG,GEO_BUL,StrikeSwinging,Undefined,NoShift,64.45406,57.97659,152.5731,26.57593,89.06791,-78.75647,144.43674,-39.97779,256.4171,-136.13616,323.85648,11.38203,254.39882,135.57946
84a8b67f-aeb1-48ed-b715-18ad071b43ab,41,77922700-afae-11ec-ba9c-4302bb366a4c,f5206d23-36ee-4b6d-87c4-06995d48db3f,2022-03-29,18:20:39.98,2022-03-29,22:20:39.98,2022-03-29T18:20:39.9840394-04:00,2022-03-29T22:20:39.9840394Z,GEO_EAG,GEO_BUL,InPlay,Single,NoShift,64.20261,57.76212,153.78873,22.55022,90.4496,-80.43512,144.79976,-40.11301,259.43841,-138.57277,317.14282,14.60377,255.12771,137.27054
84a8b67f-aeb1-48ed-b715-18ad071b43ab,42,93d51b70-afae-11ec-ba9c-4302bb366a4c,51801cea-2bd6-43ae-8405-5ed85b7d399e,2022-03-29,18:21:27.39,2022-03-29,22:21:27.39,2022-03-29T18:21:27.3998474-04:00,2022-03-29T22:21:27.3998474Z,GEO_EAG,GEO_BUL,BallCalled,Undefined,NoShift,98.04706,81.64354,146.15171,43.66931,82.50786,-57.44979,148.3604,-27.53027,251.91886,-132.69743,311.63185,-11.51748,261.63474,127.87892
84a8b67f-aeb1-48ed-b715-18ad071b43ab,43,a3a54390-afae-11ec-ba9c-4302bb366a4c,1dc245c1-34eb-4b99-b76e-c423aec0c359,2022-03-29,18:21:53.98,2022-03-29,22:21:53.98,2022-03-29T18:21:53.9838090-04:00,2022-03-29T22:21:53.9838090Z,GEO_EAG,GEO_BUL,BallCalled,Undefined,NoShift,98.96038,81.64153,147.37397,42.09897,82.2938,-58.98731,148.23898,-26.57845,249.51016,-133.92135,310.96068,-13.14224,260.30699,127.70144
84a8b67f-aeb1-48ed-b715-18ad071b43ab,44,b0558e10-afae-11ec-ba9c-4302bb366a4c,93ff72b4-4ad6-4db4-bfc0-22f8aedb230f,2022-03-29,18:22:15.18,2022-03-29,22:22:15.18,2022-03-29T18:22:15.1830666-04:00,2022-03-29T22:22:15.1830666Z,GEO_EAG,GEO_BUL,StrikeCalled,Undefined,NoShift,98.72439,82.51113,147.97358,41.72779,83.63797,-60.87497,149.0516,-26.89167,247.42187,-130.04774,313.25408,-8.92153,259.45096,126.77093
84a8b67f-aeb1-48ed-b715-18ad071b43ab,45,bc6e2c70-afae-11ec-ba9c-4302bb366a4c,8d05bcd4-ebf0-45d4-a7c3-04946a5d7cb1,2022-03-29,18:22:35.53,2022-03-29,22:22:35.53,2022-03-29T18:22:35.5342474-04:00,2022-03-29T22:22:35.5342474Z,GEO_EAG,GEO_BUL,FoulBall,Undefined,NoShift,98.37278,83.21399,145.35199,40.19553,86.30705,-64.24895,148.30331,-28.01533,249.53387,-132.39945,311.49112,-10.44578,261.2136,125.87516
84a8b67f-aeb1-48ed-b715-18ad071b43ab,46,cbe3d880-afae-11ec-ba9c-4302bb366a4c,d4aa99aa-fa68-49fe-84a5-fc0937339424,2022-03-29,18:23:01.55,2022-03-29,22:23:01.55,2022-03-29T18:23:01.5577738-04:00,2022-03-29T22:23:01.5577738Z,GEO_EAG,GEO_BUL,BallCalled,Undefined,NoShift,98.42188,84.19765,145.6961,38.76845,90.93881,-67.72208,148.09126,-27.47672,247.23078,-131.72183,312.09008,-10.64906,261.12124,126.04836
84a8b67f-aeb1-48ed-b715-18ad071b43ab,47,d9c0e330-afae-11ec-ba9c-4302bb366a4c,04b63088-12bf-4445-8d9d-a0c0b7e05317,2022-03-29,18:23:24.73,2022-03-29,22:23:24.73,2022-03-29T18:23:24.7356554-04:00,2022-03-29T22:23:24.7356554Z,GEO_EAG,GEO_BUL,BallCalled,Undefined,NoShift,97.65869,83.83032,146.83205,42.82324,95.51411,-70.15689,148.48717,-29.09183,248.26687,-131.82508,310.18533,-11.4095,262.82416,125.49393
