GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
a8388bc6-3c84-49ac-8331-b14f18b1b8f2,1,ada4b690-bc3e-11ec-a7f6-657e8e42f26d,5c44059b-bd40-4207-b3e8-4aaad23b8cfc,2022-04-14,18:03:12.23,2022-04-14,22:03:12.23,2022-04-14T18:03:12.2318072-04:00,2022-04-14T22:03:12.2318072Z,GEO_BUL,TEX_AGG,StrikeCalled,Undefined,NoShift,93.72469,74.77709,144.06194,47.35035,92.66403,-52.59436,148.50917,-26.48904,251.15727,-124.27597,298.20416,-15.9668,249.96543,128.78988
a8388bc6-3c84-49ac-8331-b14f18b1b8f2,2,b77bf070-bc3e-11ec-a7f6-657e8e42f26d,c745e716-538f-45fe-b463-89cb7c59106e,2022-04-14,18:03:28.80,2022-04-14,22:03:28.80,2022-04-14T18:03:28.8039160-04:00,2022-04-14T22:03:28.8039160Z,GEO_BUL,TEX_AGG,BallCalled,Undefined,NoShift,93.37788,76.08955,144.96285,49.68085,97.52491,-56.07956,148.50629,-24.96759,250.4004,-124.25258,295.88873,-15.57909,249.64797,128.51774
a8388bc6-3c84-49ac-8331-b14f18b1b8f2,3,c103f8e0-bc3e-11ec-a7f6-657e8e42f26d,dbc7b5a6-d4e3-4da2-b76b-a83bcab726b4,2022-04-14,18:03:44.76,2022-04-14,22:03:44.76,2022-04-14T18:03:44.7680760-04:00,2022-04-14T22:03:44.7680760Z,GEO_BUL,TEX_AGG,InPlay,Out,NoShift,93.42843,75.06613,144.42601,49.39477,97.48011,-55.47897,150.90002,-25.33048,251.74162,-124.76483,298.00527,-16.75015,249.97859,128.70503
a8388bc6-3c84-49ac-8331-b14f18b1b8f2,4,dcfcc4f0-bc3e-11ec-a7f6-657e8e42f26d,667779ad-222d-44b0-9380-61f1a3ac6388,2022-04-14,18:04:31.75,2022-04-14,22:04:31.75,2022-04-14T18:04:31.7596408-04:00,2022-04-14T22:04:31.7596408Z,GEO_BUL,TEX_AGG,BallCalled,Undefined,NoShift,96.07497,59.65336,146.75481,36.45342,88.59925,-69.53087,140.38455,-47.423,270.76425,-102.19564,305.50253,37.54868,259.19422,124.37781
a8388bc6-3c84-49ac-8331-b14f18b1b8f2,5,e7ac5d70-bc3e-11ec-a7f6-657e8e42f26d,95c91572-cb55-42de-be83-a8f19842356c,2022-04-14,18:04:49.66,2022-04-14,22:04:49.66,2022-04-14T18:04:49.6655096-04:00,2022-04-14T22:04:49.6655096Z,GEO_BUL,TEX_AGG,StrikeCalled,Undefined,NoShift,96.86024,60.05944,146.18628,37.30964,88.8559,-70.31879,140.91976,-46.40216,271.95877,-102.92962,306.26401,38.16167,259.77,124.0798
a8388bc6-3c84-49ac-8331-b14f18b1b8f2,6,f2c82540-bc3e-11ec-a7f6-657e8e42f26d,52ed1e9a-4b15-43cb-84a8-8f94adc9629d,2022-04-14,18:05:08.27,2022-04-14,22:05:08.27,2022-04-14T18:05:08.2721528-04:00,2022-04-14T22:05:08.2721528Z,GEO_BUL,TEX_AGG,InPlay,Out,NoShift,97.08461,60.40943,147.80627,39.85184,89.7162,-70.97263,141.00622,-48.94453,272.79819,-103.99022,307.14492,37.90973,258.54339,123.37983
a8388bc6-3c84-49ac-8331-b14f18b1b8f2,7,06e9cd30-bc3f-11ec-a7f6-657e8e42f26d,2c0c64cb-7ef7-4c1d-b3d0-048c1036dcc9,2022-04-14,18:05:42.09,2022-04-14,22:05:42.09,2022-04-14T18:05:42.0939000-04:00,2022-04-14T22:05:42.0939000Z,GEO_BUL,TEX_AGG,StrikeCalled,Undefined,NoShift,97.97025,77.4546,145.85618,45.85356,91.79976,-64.64188,148.90916,-32.26534,253.10208,-126.38077,301.9661,0.21428,251.69399,131.86075
a8388bc6-3c84-49ac-8331-b14f18b1b8f2,8,10e66960-bc3f-11ec-a7f6-657e8e42f26d,536c1f5e-f4ef-4ace-ba9c-dcb0a570da5f,2022-04-14,18:05:58.83,2022-04-14,22:05:58.83,2022-04-14T18:05:58.8312824-04:00,2022-04-14T22:05:58.8312824Z,GEO_BUL,TEX_AGG,BallCalled,Undefined,NoShift,97.23963,77.34036,144.57642,47.48072,92.13389,-65.26366,148.63874,-31.17432,254.58249,-127.06589,301.34273,-0.16422,251.35238,131.32572
a8388bc6-3c84-49ac-8331-b14f18b1b8f2,9,1b705170-bc3f-11ec-a7f6-657e8e42f26d,f8c6bd9d-a9c5-47c4-996e-6b39115abd75,2022-04-14,18:06:16.42,2022-04-14,22:06:16.42,2022-04-14T18:06:16.4286200-04:00,2022-04-14T22:06:16.4286200Z,GEO_BUL,TEX_AGG,BallCalled,Undefined,NoShift,96.71508,77.21066,144.64484,47.21831,92.40357,-65.23344,146.6106,-31.01789,252.68198,-126.19172,301.5997,-0.2931,251.38247,130.76814
a8388bc6-3c84-49ac-8331-b14f18b1b8f2,10,25eb9380-bc3f-11ec-a7f6-657e8e42f26d,f7616a5e-acc7-4992-97af-23fe2d3c49ef,2022-04-14,18:06:34.10,2022-04-14,22:06:34.10,2022-04-14T18:06:34.1040888-04:00,2022-04-14T22:06:34.1040888Z,GEO_BUL,TEX_AGG,InPlay,Out,NoShift,96.11797,77.35813,145.02126,46.68866,93.04427,-65.14742,147.02692,-30.59159,254.59889,-126.70411,300.29609,-0.88968,252.85215,131.02186
